"","director","name","score","year","foreign"
"2451","Gustavo Letelier","El Destello de la Luna",6.9,2018,FALSE
"2452","Guy Maddin","Brand Upon the Brain",7.1,2006,FALSE
"2453","Guy Maddin","Cowards Bend the Knee",7,2004,FALSE
"2454","Guy Maddin","Keyhole",6,2012,FALSE
"2455","Guy Maddin","My Winnipeg",6.5,2008,FALSE
"2456","Guy Maddin","The Forbidden Room",7.1,2015,FALSE
"2457","Guy Maddin","The Saddest Music in the World",6.5,2004,FALSE
"2458","Guy Maddin: Dracula","Pages From a Virgin's Diary",7,2003,FALSE
"2459","Guy Ritchie","King Arthur",5.5,2017,FALSE
"2460","Guy Ritchie","Lock Stock And Two Smoking Umbrellas",6.5,1999,FALSE
"2461","Guy Ritchie","Revolver",6,2007,FALSE
"2462","Guy Ritchie","Rocknrolla",6,2008,FALSE
"2463","Guy Ritchie","Sherlock Holmes",4.5,2009,FALSE
"2464","Guy Ritchie","Sherlock Holmes - A Game of Shadows",5.5,2011,FALSE
"2465","Guy Ritchie","Snatch",6.8,2001,FALSE
"2466","Guy Ritchie","Swept Away",5,2002,FALSE
"2467","Guy Ritchie","The Man From U.N.C.L.E.",6.4,2015,FALSE
"2468","Gyorgy Palfi"," Final Cut - Ladies and Gentlemen",7,2012,TRUE
"2469","Gyorgy Palfi"," Free Fall",6.8,2014,TRUE
"2470","Gyorgy Palfi"," I Am Not Your Friend",6,2009,TRUE
"2471","Gyorgy Palfi","Hukkle",7.8,2002,FALSE
"2472","Gyorgy Palfi","Taxidermia",7.2,2006,FALSE
"2473","H. S. Miller","Anamorph",6.5,2008,FALSE
"2474","Haifaa al-Mansour","Mary Shelley",6.8,2018,FALSE
"2475","Haifaa al-Mansour","Wadjda",6.8,2013,FALSE
"2476","Haik Kocharian","Please Be Normal",7,2014,FALSE
"2477","Haile Gerima","Teza",6.5,2008,FALSE
"2478","Haim Tabakman","Eyes Wide Open",6,2010,FALSE
